country,year,region,casetype,prev,ll,ul,m_prev,m_ll,m_ul,f_prev,f_ll,f_ul,notified,m_notified,f_notified,pop,m_pop,f_pop
Philippines (2007),2007,Asia,smear,280,190,370,350,240,480,190,120,290,85720,60304,25416,57013423,28427337,28586086
Viet Nam (2006-2007),2007,Asia,smear,197,150,244,351,262,440,69,39,99,54353,39932,14421,63781002,30965207,32815795
Myanmar (2009-2010),2009,Asia,smear,242,186,315,398,301,525,122,77,194,41109,27265,13844,35945859,17322875,18622984
China,2010,Asia,smear,66,53,79,99,74,123,32,23,42,428214,306170,122044,1107440301,565239218,542201083
Cambodia,2011,Asia,smear,271,212,348,361,265,493,197,127,303,15803,8567,7236,9789156,4661872,5127284
Ethiopia,2011,Africa,smear,108,73,143,133,80,185,87,47,127,45864,25722,20142,50419804,24895485,25524319
Lao People's Democratic Republic,2011,Asia,smear,278,199,356,420,299,541,152,88,215,3249,2008,1241,4042453,1977923,2064530
Pakistan,2011,Asia,smear,270,217,323,352,273,431,197,145,249,101838,53344,48494,111198464,56851432,54347032
Gambia,2012,Africa,smear,90,53,127,148,88,208,41,0,83,1406,973,433,967945,471311,496634
Nigeria,2012,Africa,smear,318,225,412,484,333,635,198,108,289,51714,31816,19898,94097589,47640724,46456865
Rwanda,2012,Africa,smear,74,48,99,142,88,196,24,5,43,3509,2340,1169,6254658,2891340,3363318
Thailand,2012,Asia,smear,104,55,195,159,82,306,51,23,117,30881,21936,8945,54721053,26777475,27943578
United Republic of Tanzania,2012,Africa,smear,275,232,326,407,319,494,179,130,228,24748,16108,8640,26670551,13120601,13549950
Ghana,2013,Africa,smear,111,76,145,198,133,264,49,21,76,7212,4952,2260,15972358,7780372,8191986
Indonesia,2013,Asia,smear,257,210,303,393,315,471,131,88,174,204384,122812,81572,180391577,90186273,90205304
Malawi,2013,Africa,smear,220,142,297,303,176,431,149,85,213,7650,4635,3015,8808813,4362910,4445903
Sudan,2013,Africa,smear,87,83,121,124,79,194,58,32,105,5664,3737,1927,22653617,11280262,11373355
Mongolia,2014,Asia,smear,204,143,265,349,235,464,68,38,99,1746,947,799,2098032,1030648,1067384
Zambia,2014,Africa,smear,319,232,406,445,309,580,221,139,303,13494,8822,4672,8474997,4199662,4275335
Zimbabwe,2014,Africa,bact,344,268,420,413,303,523,288,189,386,12577,7590,4987,8906050,4338071,4567979
Bangladesh,2015,Asia,bact,287,244,330,452,379,526,143,109,178,115753,72590,43163,113772682,57121967,56650715
Kenya,2015,Africa,bact,558,455,662,809,656,962,359,258,460,40768,27194,13574,25766710,12606254,13160456
Uganda,2015,Africa,bact,401,292,509,734,554,914,178,109,248,28721,19785,8936,20261454,10045526,10215928
Democratic People's Republic of Korea,2016,Asia,bact,587,520,655,917,783,1052,319,256,382,96750,61102,35648,20068601,9699031,10369570
Philippines (2016),2016,Asia,smear,434,350,518,673,528,819,205,141,270,99946,71083,28863,70294074,35050275,35243799
Myanmar (2018),2018,Asia,bact,468,391,546,759,616,903,210,155,266,111701,71961,39740,39544903,18756392,20788511
Namibia,2018,Africa,bact,465,340,590,643,429,858,304,196,413,7095,4430,2665,1544628,734387,810241
Viet Nam (2018),2018,Asia,bact,322,260,399,522,420,648,133,89,198,97902,71043,26859,73405325,36026301,37379024
Lesotho,2019,Africa,bact,581,466,696,849,642,1057,327,218,435,6767,4361,2406,1418555,693860,724695
Nepal,2018,Asia,bact,374,308,441,530,428,632,235,171,299,30096,19216,10880,19557091,8481347,11075744
South Africa,2018,Africa,bact,852,679,1026,1094,835,1352,675,494,855,199096,115632,83464,40986690,19998366,20988324
Eswatini,2017,Africa,bact,352,264,440,425,277,574,293,181,404,3189,1833,1356,693489,330173,363316
Mozambique,2018,Africa,bact,334,252,416,474,335,614,211,122,301,83168,44267,38901,16893249,7993130,8900119
