year,saved.hivneg,saved.hivneg.ui,saved.hivpos,saved.hivpos.ui,saved,saved.ui,,all,neg,pos
2000,2.33,(0.911-4.04),0.716,(0.214-1.3),3.04,(1.52-4.84),2000,3.04,2.33,0.716
2001,2.45,(0.992-4.21),0.648,(0.186-1.18),3.1,(1.55-4.92),2001,6.14,4.78,1.364
2002,2.55,(1.07-4.35),0.629,(0.193-1.13),3.18,(1.62-5.04),2002,9.32,7.33,1.993
2003,2.66,(1.15-4.48),0.615,(0.182-1.11),3.27,(1.69-5.15),2003,12.59,9.99,2.608
2004,2.74,(1.23-4.57),0.616,(0.18-1.12),3.36,(1.77-5.25),2004,15.95,12.73,3.224
2005,2.77,(1.26-4.59),0.609,(0.153-1.14),3.38,(1.79-5.26),2005,19.33,15.5,3.833
2006,2.79,(1.3-4.58),0.636,(0.168-1.18),3.43,(1.85-5.29),2006,22.76,18.29,4.469
2007,2.84,(1.35-4.61),0.593,(0.162-1.1),3.43,(1.87-5.26),2007,26.19,21.13,5.062
2008,2.85,(1.39-4.58),0.638,(0.23-1.1),3.48,(1.96-5.27),2008,29.67,23.98,5.7
2009,2.87,(1.43-4.58),0.652,(0.263-1.09),3.52,(2.02-5.27),2009,33.19,26.85,6.352
2010,2.88,(1.46-4.55),0.624,(0.256-1.04),3.5,(2.03-5.21),2010,36.69,29.73,6.976
2011,2.9,(1.5-4.54),0.665,(0.339-1.02),3.57,(2.12-5.24),2011,40.26,32.63,7.641
2012,2.93,(1.54-4.55),0.65,(0.321-1.01),3.58,(2.14-5.23),2012,43.84,35.56,8.291
2013,2.93,(1.56-4.53),0.61,(0.331-0.906),3.54,(2.14-5.16),2013,47.38,38.49,8.901
2014,2.93,(1.62-4.4),0.591,(0.334-0.862),3.52,(2.18-5.01),2014,50.9,41.42,9.492
2015,2.95,(1.67-4.38),0.541,(0.314-0.773),3.49,(2.19-4.93),2015,54.39,44.37,10.033
2016,2.94,(1.68-4.31),0.501,(0.307-0.692),3.44,(2.17-4.82),2016,57.83,47.31,10.534
2017,2.89,(1.66-4.23),0.472,(0.298-0.641),3.36,(2.12-4.71),2017,61.19,50.2,11.006
2018,2.88,(1.67-4.19),0.465,(0.302-0.619),3.35,(2.12-4.67),2018,64.54,53.08,11.471
2019,2.87,(1.68-4.17),0.429,(0.285-0.564),3.3,(2.1-4.61),2019,67.84,55.95,11.9
2020,2.72,(1.59-3.92),0.413,(0.274-0.544),3.14,(1.99-4.34),2020,70.98,58.67,12.313
2021,2.86,(1.65-4.14),0.361,(0.238-0.474),3.22,(2.01-4.51),2021,74.2,61.53,12.674
Cumulative,61.5,(54.5-68.5),12.7,(10.9-14.4),74.2,(67-81.4),,,,
